Date,Merc,Ven,Mar,Jup,Sat,Ura,Nep,Plu
26/05/2022,TRUE,,,,,,,TRUE
27/05/2022,TRUE,,,,,,,TRUE
28/05/2022,TRUE,,,,,,,TRUE
29/05/2022,TRUE,,,,,,,TRUE
30/05/2022,TRUE,,,,,,,TRUE
31/05/2022,TRUE,,,,,,,TRUE
01/06/2022,TRUE,,,,,,,TRUE
02/06/2022,TRUE,,,,,,,TRUE
03/06/2022,TRUE,,,,,,,TRUE
04/06/2022,,,,,,,,TRUE
05/06/2022,,,,,TRUE,,,TRUE
06/06/2022,,,,,TRUE,,,TRUE
07/06/2022,,,,,TRUE,,,TRUE
08/06/2022,,,,,TRUE,,,TRUE
09/06/2022,,,,,TRUE,,,TRUE
10/06/2022,,,,,TRUE,,,TRUE
11/06/2022,,,,,TRUE,,,TRUE
12/06/2022,,,,,TRUE,,,TRUE
13/06/2022,,,,,TRUE,,,TRUE
14/06/2022,,,,,TRUE,,,TRUE
15/06/2022,,,,,TRUE,,,TRUE
16/06/2022,,,,,TRUE,,,TRUE
17/06/2022,,,,,TRUE,,,TRUE
18/06/2022,,,,,TRUE,,,TRUE
19/06/2022,RETURN,,,,TRUE,,,TRUE
20/06/2022,,,,,TRUE,,,TRUE
21/06/2022,,,,,TRUE,,,TRUE
22/06/2022,,,,,TRUE,,,TRUE
23/06/2022,,,,,TRUE,,,TRUE
24/06/2022,,,,,TRUE,,,TRUE
25/06/2022,,,,,TRUE,,,TRUE
26/06/2022,,,,,TRUE,,,TRUE
27/06/2022,,,,,TRUE,,,TRUE
28/06/2022,,,,,TRUE,,TRUE,TRUE
29/06/2022,,,,,TRUE,,TRUE,TRUE
30/06/2022,,,,,TRUE,,TRUE,TRUE
01/07/2022,,,,,TRUE,,TRUE,TRUE
02/07/2022,,,,,TRUE,,TRUE,TRUE
03/07/2022,,,,,TRUE,,TRUE,TRUE
04/07/2022,,,,,TRUE,,TRUE,TRUE
05/07/2022,,,,,TRUE,,TRUE,TRUE
06/07/2022,,,,,TRUE,,TRUE,TRUE
07/07/2022,,,,,TRUE,,TRUE,TRUE
08/07/2022,,,,,TRUE,,TRUE,TRUE
09/07/2022,,,,,TRUE,,TRUE,TRUE
10/07/2022,,,,,TRUE,,TRUE,TRUE
11/07/2022,,,,,TRUE,,TRUE,TRUE
12/07/2022,,,,,TRUE,,TRUE,TRUE
13/07/2022,,,,,TRUE,,TRUE,TRUE
14/07/2022,,,,,TRUE,,TRUE,TRUE
15/07/2022,,,,,TRUE,,TRUE,TRUE
16/07/2022,,,,,TRUE,,TRUE,TRUE
17/07/2022,,,,,TRUE,,TRUE,TRUE
18/07/2022,,,,,TRUE,,TRUE,TRUE
19/07/2022,,,,,TRUE,,TRUE,TRUE
20/07/2022,,,,,TRUE,,TRUE,TRUE
21/07/2022,,,,,TRUE,,TRUE,TRUE
22/07/2022,,,,,TRUE,,TRUE,TRUE
23/07/2022,,,,,TRUE,,TRUE,TRUE
24/07/2022,,,,,TRUE,,TRUE,TRUE
25/07/2022,,,,,TRUE,,TRUE,TRUE
26/07/2022,,,,,TRUE,,TRUE,TRUE
27/07/2022,,,,,TRUE,,TRUE,TRUE
28/07/2022,,,,,TRUE,,TRUE,TRUE
29/07/2022,,,,TRUE,TRUE,,TRUE,TRUE
30/07/2022,,,,TRUE,TRUE,,TRUE,TRUE
31/07/2022,,,,TRUE,TRUE,,TRUE,TRUE
01/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
02/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
03/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
04/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
05/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
06/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
07/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
08/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
09/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
10/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
11/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
12/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
13/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
14/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
15/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
16/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
17/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
18/08/2022,,,,TRUE,TRUE,,TRUE,TRUE
