Date,Type,Planets,Angle
15/02/2025,Geo,Mar_Sat,120
15/02/2025,Geo,Sat_Ura,0
27/02/2025,Geo,Jup_Nep,72
27/02/2025,Helio,Jup_Nep,120
04/03/2025,Helio,Ear_Jup,45
06/03/2025,Jup,Hs,
07/03/2025,Geo,Sat_Nep,30
08/03/2025,Geo,Mer_Ura,150
09/03/2025,Geo,Nep_Plu,90
11/03/2025,Sat,Hs,
14/03/2025,Mon,LEcl,
23/03/2025,Geo,Sun_Jup,144
26/03/2025,Geo,Sun_Sat,135
26/03/2025,Geo,Mer_Sat,150
26/03/2025,Helio,Mar_Jup,150
29/03/2025,Sun,SEcl,
30/03/2025,Geo,Ven_Jup,180
30/03/2025,Helio,Ven_Jup,135
30/03/2025,Nep,Ari,
31/03/2025,Helio,Mer_Jup,72
05/04/2025,Geo,Sat_Plu,135
06/04/2025,Geo,Jup_Jup,150
07/04/2025,Helio,Mer_Plu,144
13/04/2025,Helio,Jup_Jup,150
16/04/2025,Geo,Jup_Sat,90
18/04/2025,Geo,Sat_Ura,7.5
18/04/2025,Geo,Mar_Jup,150
18/04/2025,Helio,Sat_Nep,30
19/04/2025,Geo,Jup_Ura,90
27/04/2025,Geo,Sat_Nep,36
01/05/2025,Geo,Jup_Nep,120
01/05/2025,Helio,Ear_Sat,45
03/05/2025,Helio,Jup_Ura,120
04/05/2025,Plu,R,
11/05/2025,Geo,Jup_Sat,72
12/05/2025,Geo,Sun_Jup,135
13/05/2025,Geo,Mer_Jup,120
15/05/2025,Geo,Sat_Plu,90
18/05/2025,Geo,Mar_Jup,144
23/05/2025,Helio,Jup_Plu,180
25/05/2025,Sat,Ari,
04/06/2025,Geo,Sat_Plu,135
04/06/2025,Helio,Mar_Jup,144
06/06/2025,Geo,Jup_Plu,180
08/06/2025,Helio,Jup_Sat,72
10/06/2025,Jup,Can,
21/06/2025,Geo,Ura_Plu,150
26/06/2025,Helio,Mar_Sat,120
26/06/2025,Jup,Hs,
27/06/2025,Geo,Mar_Jup,135
04/07/2025,Geo,Mer_Ura,144
05/07/2025,Nep,R,
07/07/2025,Ura,Gem,
08/07/2025,Geo,Jup_Nep,135
08/07/2025,Helio,Ven_Sat,45
09/07/2025,Geo,Jup_Sat,72
13/07/2025,Sat,R,
14/07/2025,Helio,Ven_Jup,144
18/07/2025,Geo,Sun_Jup,120
05/08/2025,Geo,Ura_Ura,72
11/08/2025,Helio,Jup_Sat,60
19/08/2025,Geo,Jup_Nep,144
19/08/2025,Helio,Mer_Jup,60
21/08/2025,Geo,Ven_Jup,150
22/08/2025,Helio,Jup_Nep,135
26/08/2025,Geo,Jup_Jup,180
27/08/2025,Helio,Ear_Jup,60
30/08/2025,Geo,Jup_Plu,15
31/08/2025,Helio,Nep_Plu,90
05/09/2025,Geo,Jup_Sat,60
06/09/2025,Ura,R,
07/09/2025,Geo,Mar_Jup,120
08/09/2025,Geo,Jup_Ura,120
08/09/2025,Mon,LEcl,
12/09/2025,Geo,Sat_Plu,90
17/09/2025,Geo,Jup_Sat,72
18/09/2025,Helio,Mar_Jup,135
22/09/2025,Sun,SEcl,
23/09/2025,Geo,Jup_Nep,150
23/09/2025,Helio,Ven_Jup,150
25/09/2025,Geo,Ven_Jup,144
27/09/2025,Helio,Sat_Ura,7.5
05/10/2025,Geo,Sat_Nep,36
08/10/2025,Geo,Ura_Ura,72
14/10/2025,Geo,Mer_Jup,90
14/10/2025,Plu,D,
15/10/2025,Helio,Sat_Nep,36
18/10/2025,Geo,Sat_Ura,7.5
28/10/2025,Helio,Jup_Sat,60
12/11/2025,Geo,Mer_Ura,144
12/11/2025,Jup,R,
23/11/2025,Helio,Sat_Plu,90
26/11/2025,Geo,Jup_Plu,15
27/11/2025,Geo,Ura_Plu,150
28/11/2025,Sat,D,
08/12/2025,Helio,Jup_Nep,144
10/12/2025,Geo,Mer_Jup,90
10/12/2025,Nep,D,
29/12/2025,Geo,Ven_Jup,144
31/12/2025,Geo,Jup_Nep,150
07/01/2026,Geo,Sat_Ura,7.5
18/01/2026,Geo,Jup_Ura,120
18/01/2026,Helio,Ear_Jup,72
19/01/2026,Geo,Mar_Jup,120
19/01/2026,Geo,Sat_Nep,36
21/01/2026,Geo,Jup_Sat,60
23/01/2026,Helio,Jup_Ura,120
25/01/2026,Helio,Ear_Sat,36
27/01/2026,Nep,Ari,
29/01/2026,Geo,Sat_Plu,135
03/02/2026,Geo,Jup_Sat,72
04/02/2026,Ura,D,
06/02/2026,Geo,Jup_Jup,180
06/02/2026,Geo,Sat_Plu,90
09/02/2026,Helio,Ven_Plu,7.5
12/02/2026,Geo,Ura_Plu,45
14/02/2026,Sat,Ari,
15/02/2026,Helio,Mer_Jup,45
17/02/2026,Sun,SEcl,
18/02/2026,Helio,Jup_Nep,150
19/02/2026,Geo,Ven_Jup,150
24/02/2026,Geo,Jup_Nep,144
03/03/2026,Helio,Ura_Plu,150
03/03/2026,Mon,LEcl,
09/03/2026,Geo,Sun_Sat,144
11/03/2026,Jup,D,
18/03/2026,Helio,Mar_Jup,120
19/03/2026,Geo,Mar_Sat,135
20/03/2026,Geo,Sat_Ura,15
26/03/2026,Geo,Jup_Nep,144
31/03/2026,Geo,Plu_Plu,36
31/03/2026,Geo,Ven_Jup,150
06/04/2026,Helio,Jup_Jup,180
08/04/2026,Geo,Sat_Nep,45
10/04/2026,Geo,Ura_Plu,150
13/04/2026,Geo,Jup_Jup,180
15/04/2026,Geo,Sun_Nep,144
23/04/2026,Geo,Mer_Ura,144
26/04/2026,Ura,Gem,
27/04/2026,Geo,Sun_Sat,150
27/04/2026,Helio,Ear_Ura,22.5
28/04/2026,Helio,Jup_Sat,45
29/04/2026,Geo,Jup_Sat,60
01/05/2026,Geo,Mar_Jup,120
02/05/2026,Geo,Jup_Ura,120
06/05/2026,Plu,R,
07/05/2026,Helio,Sat_Ura,15
14/05/2026,Geo,Ura_Ura,72
17/05/2026,Geo,Jup_Nep,150
18/05/2026,Helio,Jup_Plu,150
19/05/2026,Geo,Ven_Jup,144
24/05/2026,Geo,Sat_Ura,22.5
27/05/2026,Geo,Jup_Ura,135
28/05/2026,Geo,Mar_Nep,135
31/05/2026,Geo,Ura_Nep,15
31/05/2026,Geo,Mer_Jup,90
06/06/2026,Helio,Mer_Jup,36
10/06/2026,Geo,Mar_Sat,144
13/06/2026,Geo,Plu_Plu,36
26/06/2026,Geo,Jup_Plu,150
02/07/2026,Helio,Mer_Sat,150
04/07/2026,Geo,Ven_Jup,135
07/07/2026,Nep,R,
09/07/2026,Helio,Sat_Nep,45
17/07/2026,Geo,Jup_Sat,45
19/07/2026,Geo,Jup_Ura,135
21/07/2026,Helio,Ear_Sat,30
24/07/2026,Geo,Jup_Plu,144
27/07/2026,Helio,Jup_Ura,135
27/07/2026,Sat,R,
01/08/2026,Helio,Jup_Plu,144
02/08/2026,Helio,Jup_Sat,72
07/08/2026,Geo,Ura_Plu,45
09/08/2026,Geo,Sun_Jup,90
13/08/2026,Sun,SEcl,
14/08/2026,Helio,Ear_Nep,36
15/08/2026,Geo,Ura_Nep,15
17/08/2026,Geo,Mar_Nep,135
17/08/2026,Helio,Jup_Sat,36
19/08/2026,Helio,Mer_Jup,30
23/08/2026,Geo,Mer_Jup,72
23/08/2026,Jup,Hs,
27/08/2026,Geo,Jup_Sat,36
27/08/2026,Geo,Sat_Plu,135
27/08/2026,Helio,Ear_Jup,90
28/08/2026,Mon,LEcl,
29/08/2026,Geo,Jup_Ura,144
03/09/2026,Geo,Jup_Plu,135
11/09/2026,Geo,Ven_Jup,120
11/09/2026,Ura,R,
12/09/2026,Geo,Mar_Sat,144
14/09/2026,Helio,Mar_Sat,135
16/09/2026,Geo,Jup_Jup,150
25/09/2026,Geo,Jup_Sat,30
25/09/2026,Helio,Ven_Jup,180
26/09/2026,Helio,Ven_Sat,60
28/09/2026,Geo,Mar_Jup,90
28/09/2026,Geo,Jup_Ura,150
01/10/2026,Geo,Sat_Ura,22.5
06/10/2026,Geo,Sun_Nep,144
12/10/2026,Geo,Jup_Nep,180
14/10/2026,Helio,Jup_Plu,7.5
15/10/2026,Helio,Ura_Ura,72
16/10/2026,Plu,D,
21/10/2026,Geo,Jup_Jup,144
28/10/2026,Geo,Mer_Jup,60
31/10/2026,Helio,Jup_Sat,30
11/11/2026,Geo,Sun_Sat,150
16/11/2026,Helio,Jup_Ura,144
19/11/2026,Geo,Jup_Sat,22.5
21/11/2026,Helio,Mer_Jup,22.5
21/11/2026,Helio,Jup_Plu,135
29/11/2026,Geo,Sun_Jup,72
03/12/2026,Geo,Sat_Plu,135
11/12/2026,Sat,D,
13/12/2026,Helio,Sat_Ura,22.5
13/12/2026,Jup,R,
13/12/2026,Nep,D,
20/12/2026,Helio,Sat_Sat,150
21/12/2026,Geo,Ura_Plu,45
24/12/2026,Helio,Mer_Sat,144
26/12/2026,Geo,Sun_Jup,72
06/01/2027,Geo,Jup_Sat,22.5
10/01/2027,Geo,Sun_Sat,150
22/01/2027,Geo,Jup_Ura,135
28/01/2027,Geo,Mer_Jup,60
28/01/2027,Geo,Plu_Plu,36
31/01/2027,Helio,Jup_Ura,150
03/02/2027,Helio,Jup_Sat,22.5
05/02/2027,Geo,Jup_Jup,144
06/02/2027,Sun,SEcl,
08/02/2027,Ura,D,
14/02/2027,Geo,Sat_Ura,22.5
15/02/2027,Geo,Sun_Nep,144
15/02/2027,Geo,Jup_Nep,180
21/02/2027,Mon,LEcl,
24/02/2027,Helio,Mer_Jup,15
25/02/2027,Geo,Jup_Ura,135
25/02/2027,Helio,Ear_Sat,22.5
27/02/2027,Helio,Jup_Nep,180
28/02/2027,Geo,Mar_Sat,144
07/03/2027,Geo,Jup_Ura,150
08/03/2027,Geo,Mar_Jup,90
11/03/2027,Geo,Jup_Sat,30
13/03/2027,Geo,Nep_Plu,15
22/03/2027,Geo,Mar_Nep,135
23/03/2027,Geo,Ven_Sat,120
24/03/2027,Geo,Ura_Nep,15
28/03/2027,Helio,Mar_Jup,90
01/04/2027,Geo,Jup_Sat,90
13/04/2027,Jup,D,
15/04/2027,Geo,Sat_Sat,150
17/04/2027,Helio,Jup_Jup,150
18/04/2027,Geo,Mar_Sat,150
18/04/2027,Geo,Sat_Ura,30
08/05/2027,Geo,Sat_Nep,60
08/05/2027,Plu,R,
10/05/2027,Helio,Jup_Sat,15
16/05/2027,Geo,Jup_Sat,30
20/05/2027,Geo,Mar_Jup,90
20/05/2027,Geo,Jup_Ura,150
30/05/2027,Geo,Mer_Sat,180
31/05/2027,Helio,Mer_Jup,7.5
01/06/2027,Helio,Jup_Plu,120
02/06/2027,Helio,Mar_Sat,144
07/06/2027,Geo,Sat_Sat,144
08/06/2027,Geo,Jup_Nep,180
11/06/2027,Geo,Sat_Ura,36
12/06/2027,Helio,Sat_Sat,144
13/06/2027,Geo,Nep_Nep,45
14/06/2027,Sat,Hs,
17/06/2027,Geo,Jup_Jup,144
23/06/2027,Geo,Mer_Jup,60
03/07/2027,Helio,Jup_Jup,144
06/07/2027,Geo,Jup_Sat,22.5
07/07/2027,Geo,Nep_Plu,15
09/07/2027,Geo,Sun_Jup,72
10/07/2027,Nep,R,
18/07/2027,Helio,Sat_Ura,30
18/07/2027,Mon,LEcl,
22/07/2027,Geo,Jup_Plu,120
22/07/2027,Geo,Sun_Ura,150
25/07/2027,Geo,Mer_Ura,135
26/07/2027,Jup,Vir,
02/08/2027,Sun,SEcl,
04/08/2027,Geo,Jup_Jup,135
06/08/2027,Geo,Nep_Nep,45
10/08/2027,Sat,R,
12/08/2027,Geo,Jup_Sat,15
15/08/2027,Helio,Jup_Sat,7.5
17/08/2027,Mon,LEcl,
28/08/2027,Geo,Mar_Jup,72
02/09/2027,Geo,Plu_Plu,36
05/09/2027,Geo,Sun_Jup,60
05/09/2027,Geo,Mer_Jup,45
05/09/2027,Helio,Mer_Jup,0
08/09/2027,Helio,Ven_Sat,72
10/09/2027,Helio,Mer_Sat,135
14/09/2027,Helio,Ear_Jup,120
15/09/2027,Ura,R,
16/09/2027,Geo,Jup_Sat,7.5
17/09/2027,Helio,Sat_Nep,60
20/09/2027,Helio,Ura_Plu,45
28/09/2027,Helio,Ear_Sat,15
07/10/2027,Sat,Hs,
08/10/2027,Geo,Ven_Jup,90
10/10/2027,Geo,Sat_Ura,36
13/10/2027,Geo,Jup_Jup,120
13/10/2027,Helio,Ven_Jup,150
15/10/2027,Geo,Sat_Sat,144
18/10/2027,Plu,D,
19/10/2027,Geo,Mer_Jup,36
23/10/2027,Geo,Jup_Sat,0
25/10/2027,Geo,Mar_Jup,60
